2044676945 reads of which  0.10584213537% dirties
2048505961 reads of which  0.105780895504% dirties
2052335155 reads of which  0.105723180968% dirties
2056164844 reads of which  0.105663011715% dirties
2059993050 reads of which  0.105602564533% dirties
2063820984 reads of which  0.105541356876% dirties
2067648069 reads of which  0.105479738196% dirties
2071475511 reads of which  0.105421177726% dirties
2075303166 reads of which  0.10536324648% dirties
2079129927 reads of which  0.105304195835% dirties
2082957317 reads of which  0.105245785504% dirties
2086784424 reads of which  0.105187841866% dirties
2090611347 reads of which  0.105131348931% dirties
2094438123 reads of which  0.10507404472% dirties
2098264707 reads of which  0.105016785663% dirties
2102091852 reads of which  0.104960835936% dirties
2105918119 reads of which  0.104905041657% dirties
2109744559 reads of which  0.104848018238% dirties
2113570868 reads of which  0.104792509375% dirties
2117397329 reads of which  0.104738501349% dirties
2121223700 reads of which  0.104685075883% dirties
2125050722 reads of which  0.104632171222% dirties
2128877972 reads of which  0.104577618787% dirties
2132706915 reads of which  0.104524320446% dirties
2136536177 reads of which  0.104470319952% dirties
2140363270 reads of which  0.104416015792% dirties
2144189612 reads of which  0.104362296481% dirties
2148015987 reads of which  0.104311718514% dirties
2151842491 reads of which  0.104261617632% dirties
2155669397 reads of which  0.104210147118% dirties
2159495475 reads of which  0.104157015657% dirties
2163321486 reads of which  0.104108875383% dirties
2167147681 reads of which  0.104059343522% dirties
2170973541 reads of which  0.104007501582% dirties
2174800007 reads of which  0.103954545371% dirties
2178626691 reads of which  0.103902969671% dirties
2182453843 reads of which  0.103854863977% dirties
2186280695 reads of which  0.103806930427% dirties
2190107909 reads of which  0.103758741323% dirties
2193934840 reads of which  0.103709425573% dirties
2197761429 reads of which  0.103659992388% dirties
2201587193 reads of which  0.103613345738% dirties
2205412987 reads of which  0.103567262162% dirties
2209239495 reads of which  0.10351969785% dirties
2213066818 reads of which  0.103472324531% dirties
2216893568 reads of which  0.103423710236% dirties
2220719608 reads of which  0.103374195091% dirties
2224545310 reads of which  0.103324085586% dirties
2228370303 reads of which  0.103272582968% dirties
2232194620 reads of which  0.103221742825% dirties
2236018834 reads of which  0.103170844759% dirties
2239843329 reads of which  0.103122273335% dirties
2243668168 reads of which  0.103073495581% dirties
2247493115 reads of which  0.103025602817% dirties
2251318129 reads of which  0.10297760055% dirties
2255142571 reads of which  0.102929782793% dirties
2258967222 reads of which  0.10288600416% dirties
2262792707 reads of which  0.10284034869% dirties
2266617597 reads of which  0.102793475312% dirties
2270442375 reads of which  0.102745921045% dirties
2274267232 reads of which  0.102700433227% dirties
2278091426 reads of which  0.102658173562% dirties
2281916287 reads of which  0.102621962223% dirties
2285741472 reads of which  0.102581695643% dirties
2289566666 reads of which  0.102539994789% dirties
2293392133 reads of which  0.102496555481% dirties
2297217440 reads of which  0.102448694191% dirties
2301042159 reads of which  0.102402969923% dirties
2304866182 reads of which  0.102354923181% dirties
2308691066 reads of which  0.102309239412% dirties
2312516232 reads of which  0.102262140576% dirties
2316340228 reads of which  0.102212712165% dirties
2320163880 reads of which  0.102163541137% dirties
2323987954 reads of which  0.102115648057% dirties
2327812246 reads of which  0.102068655841% dirties
Closing  /home/moritz/glob/data/TARA_work/samples/all_shuffled_00006.fastq
2331636190 reads of which  0.102021786684% dirties
2335460222 reads of which  0.101973929488% dirties
2339284169 reads of which  0.101926327361% dirties
2343107833 reads of which  0.101878915532% dirties
2346932156 reads of which  0.101832023729% dirties
2350756585 reads of which  0.101785956711% dirties
2354580672 reads of which  0.10174164039% dirties
2358404629 reads of which  0.101695980855% dirties
2362228651 reads of which  0.101648924163% dirties
2366052752 reads of which  0.10160154578% dirties
2369877649 reads of which  0.101555190877% dirties
2373702914 reads of which  0.101509502549% dirties
2377528873 reads of which  0.101466013616% dirties
2381354220 reads of which  0.101423011735% dirties
2385178271 reads of which  0.10137828813% dirties
2389002878 reads of which  0.101332020245% dirties
2392827514 reads of which  0.101288435787% dirties
2396653087 reads of which  0.101244789793% dirties
2400478154 reads of which  0.10120098431% dirties
2404303004 reads of which  0.101156770006% dirties
2408127186 reads of which  0.101112356696% dirties
2411951573 reads of which  0.101068420166% dirties
2415776453 reads of which  0.101024695682% dirties
2419601166 reads of which  0.100986275934% dirties
2423426351 reads of which  0.100947519572% dirties
2427251813 reads of which  0.100906177385% dirties
2431076550 reads of which  0.100862846956% dirties
2434901276 reads of which  0.100823702143% dirties
2438726937 reads of which  0.100784340908% dirties
2442551422 reads of which  0.100742713862% dirties
2446375896 reads of which  0.100701113187% dirties
2450201054 reads of which  0.100659064119% dirties
2454026144 reads of which  0.100616279742% dirties
2457850508 reads of which  0.100573950773% dirties
2461674209 reads of which  0.100531676814% dirties
2465498176 reads of which  0.100488506709% dirties
2469321344 reads of which  0.100444004019% dirties
2473144856 reads of which  0.100399376687% dirties
2476968994 reads of which  0.100355674456% dirties
2480793017 reads of which  0.100313100003% dirties
2484616965 reads of which  0.100268784891% dirties
2488439750 reads of which  0.100224604192% dirties
2492263272 reads of which  0.100181075894% dirties
2496086703 reads of which  0.100138886081% dirties
2499910835 reads of which  0.100096199631% dirties
2503737370 reads of which  0.100056508323% dirties
2507563410 reads of which  0.100016550728% dirties
